Size,Temperature
0.9998,546.27
0.9998,547.12
0.9999,547.12
0.9999,548.32
0.9998,548.32
0.9998,548.48
0.9999,548.49
0.9999,549.09
0.9998,549.09
0.9998,549.4
0.9997,549.41
0.9997,549.64
0.9996,549.66
0.9993,550.54
0.9994,550.54
0.9994,551.02
0.9995,551.02
0.9995,551.22
0.9994,551.22
0.9994,551.63
0.9993,551.63
0.9993,552.04
0.9992,552.04
0.9992,552.21
0.9991,552.21
0.9991,552.71
0.999,552.71
0.999,553.07
0.9989,553.07
0.9989,553.4
0.9988,553.4
0.9988,553.9
0.9987,553.9
0.9983,554.09
0.9982,554.1
0.9982,554.39
0.9983,554.4
0.9983,554.83
0.9982,554.84
0.9982,555.46
0.9981,555.47
0.9981,555.73
0.998,555.73
0.998,556.01
0.9979,556.02
0.9979,556.35
0.9978,556.35
0.9978,557.05
0.9977,557.06
0.9977,557.77
0.9976,557.78
0.9976,557.99
0.9975,557.99
0.9975,558.02
0.9974,558.02
0.9974,558.04
0.9968,558.48
0.9967,558.49
0.9967,558.91
0.9966,558.92
0.9966,559.21
0.9965,559.21
0.9965,559.5
0.9964,559.5
0.9964,559.76
0.9963,559.77
0.9963,559.96
0.9962,559.96
0.9962,560.18
0.9961,560.19
0.9961,560.44
0.996,560.45
0.996,560.89
0.9959,560.9
0.9959,561.13
0.9958,561.13
0.9958,561.39
0.9957,561.39
0.9957,561.77
0.9956,561.78
0.9956,562.04
0.9955,562.04
0.9955,562.19
0.9954,562.19
0.9954,562.43
0.9953,562.43
0.9953,562.68
0.9952,562.68
0.9952,562.81
0.9951,562.82
0.9951,562.96
0.995,562.96
0.995,563.02
0.9947,563.05
0.9946,563.05
0.9946,563.32
0.9945,563.32
0.9945,563.62
0.9944,563.63
0.9944,563.88
0.9943,563.89
0.9943,564.03
0.9942,564.03
0.9942,564.14
0.9941,564.15
0.9941,564.25
0.994,564.25
0.994,564.35
0.9939,564.36
0.9939,564.53
0.9938,564.53
0.9938,564.69
0.9937,564.69
0.9937,564.85
0.9936,564.85
0.9936,564.95
0.9935,564.95
0.9935,565.06
0.9934,565.06
0.9934,565.2
0.9933,565.2
0.9933,565.39
0.9932,565.4
0.9932,565.57
0.9931,565.57
0.9931,565.7
0.993,565.7
0.993,565.92
0.9929,565.93
0.9929,566.09
0.9928,566.09
0.9928,566.3
0.9927,566.31
0.9927,566.45
0.9926,566.45
0.9926,566.54
0.9925,566.54
0.9925,566.67
0.9924,566.67
0.9924,566.76
0.9923,566.76
0.9923,566.99
0.9922,566.99
0.9922,567.02
0.9916,567.1
0.9915,567.11
0.9915,567.38
0.9914,567.38
0.9914,567.55
0.9913,567.56
0.9913,567.74
0.9912,567.74
0.9912,567.92
0.9911,567.93
0.9911,568.08
0.991,568.09
0.991,568.21
0.9909,568.22
0.9909,568.47
0.9908,568.47
0.9908,568.74
0.9907,568.74
0.9907,568.91
0.9906,568.91
0.9906,569.07
0.9905,569.08
0.9905,569.23
0.9904,569.23
0.9904,569.35
0.9903,569.35
0.9903,569.44
0.9902,569.45
0.9902,569.54
0.9901,569.55
0.9901,569.66
0.99,569.66
0.99,569.77
0.9899,569.77
0.9899,569.9
0.9898,569.9
0.9898,570.01
0.9897,570.02
0.9897,570.13
0.9896,570.13
0.9896,570.23
0.9895,570.23
0.9895,570.37
0.9894,570.38
0.9894,570.83
0.9893,570.84
0.9893,570.99
0.9892,571
0.9892,571.05
0.9891,571.05
0.9891,571.13
0.989,571.13
0.989,571.18
0.9889,571.18
0.9889,571.2
0.9881,571.28
0.988,571.28
0.988,571.36
0.9879,571.37
0.9879,571.44
0.9878,571.44
0.9878,571.5
0.9877,571.51
0.9877,571.6
0.9876,571.6
0.9876,571.69
0.9875,571.69
0.9875,571.76
0.9874,571.77
0.9874,571.83
0.9873,571.83
0.9873,571.95
0.9872,571.96
0.9872,572.08
0.9871,572.08
0.9871,572.17
0.987,572.17
0.987,572.27
0.9869,572.28
0.9869,572.39
0.9868,572.39
0.9868,572.51
0.9867,572.52
0.9867,572.63
0.9866,572.64
0.9866,572.74
0.9865,572.74
0.9865,572.83
0.9864,572.84
0.9864,572.96
0.9863,572.97
0.9863,573.1
0.9862,573.1
0.9862,573.2
0.9861,573.21
0.9861,573.3
0.986,573.3
0.986,573.4
0.9859,573.41
0.9859,573.51
0.9858,573.52
0.9858,573.62
0.9857,573.62
0.9857,573.7
0.9856,573.71
0.9856,573.78
0.9855,573.78
0.9855,573.84
0.9854,573.85
0.9854,573.92
0.9853,573.93
0.9853,574
0.9852,574.01
0.9852,574.07
0.9851,574.08
0.9851,574.17
0.985,574.17
0.985,574.24
0.9849,574.25
0.9849,574.33
0.9848,574.33
0.9848,574.48
0.9847,574.49
0.9847,574.6
0.9846,574.61
0.9846,574.72
0.9845,574.72
0.9845,574.83
0.9844,574.83
0.9844,574.94
0.9843,574.94
0.9843,575.04
0.9842,575.05
0.9842,575.15
0.9841,575.16
0.9841,575.26
0.984,575.26
0.984,575.34
0.9839,575.35
0.9839,575.44
0.9838,575.45
0.9838,575.54
0.9837,575.54
0.9837,575.68
0.9836,575.68
0.9836,575.84
0.9835,575.85
0.9835,576.06
0.9834,576.06
0.9834,576.21
0.9833,576.21
0.9833,576.35
0.9832,576.35
0.9832,576.43
0.9831,576.43
0.9831,576.53
0.983,576.54
0.983,576.67
0.9829,576.67
0.9829,576.72
0.9828,576.72
0.9828,576.74
0.9827,576.74
0.9827,576.78
0.9826,576.78
0.9826,576.88
0.9825,576.88
0.9825,576.99
0.9824,577
0.9824,577.08
0.9823,577.09
0.9823,577.15
0.9822,577.16
0.9822,577.21
0.9821,577.22
0.9821,577.27
0.982,577.27
0.982,577.31
0.9819,577.31
0.9819,577.32
0.9818,577.32
0.9818,577.36
0.9817,577.36
0.9817,577.48
0.9816,577.48
0.9816,577.68
0.9815,577.68
0.9815,577.79
0.9814,577.79
0.9814,577.89
0.9813,577.9
0.9813,578.01
0.9812,578.02
0.9812,578.13
0.9811,578.14
0.9811,578.24
0.981,578.25
0.981,578.36
0.9809,578.36
0.9809,578.46
0.9808,578.46
0.9808,578.55
0.9807,578.56
0.9807,578.67
0.9806,578.67
0.9806,578.77
0.9805,578.77
0.9805,578.85
0.9804,578.85
0.9804,578.94
0.9803,578.94
0.9803,579.02
0.9802,579.03
0.9802,579.09
0.9801,579.09
0.9801,579.13
0.98,579.14
0.98,579.17
0.9799,579.17
0.9799,579.2
0.9798,579.2
0.9798,579.23
0.9797,579.23
0.9797,579.26
0.9796,579.27
0.9796,579.32
0.9795,579.32
0.9795,579.38
0.9794,579.39
0.9794,579.46
0.9793,579.47
0.9793,579.52
0.9792,579.52
0.9792,579.57
0.9791,579.57
0.9791,579.62
0.979,579.62
0.979,579.65
0.9789,579.65
0.9789,579.69
0.9788,579.7
0.9788,579.75
0.9787,579.75
0.9787,579.79
0.9786,579.8
0.9786,579.82
0.9785,579.82
0.9785,579.83
0.9784,579.83
0.9784,579.86
0.9783,579.86
0.978,579.86
0.9779,579.86
0.9779,579.88
0.9778,579.89
0.9778,579.93
0.9777,579.94
0.9777,579.97
0.9776,579.98
0.9776,579.99
0.9775,579.99
0.9775,580.04
0.9774,580.05
0.9774,580.1
0.9773,580.1
0.9773,580.19
0.9772,580.19
0.9772,580.24
0.9771,580.24
0.9771,580.32
0.977,580.33
0.977,580.38
0.9769,580.38
0.9769,580.42
0.9768,580.42
0.9768,580.43
0.9767,580.44
0.9767,580.5
0.9766,580.5
0.9766,580.56
0.9765,580.56
0.9765,580.63
0.9764,580.63
0.9764,580.66
0.9763,580.66
0.9763,580.73
0.9762,580.73
0.9762,580.78
0.9761,580.79
0.9761,580.83
0.976,580.84
0.976,580.87
0.9759,580.87
0.9759,580.88
0.9758,580.89
0.9758,580.9
0.9754,580.9
0.9754,580.91
0.9753,580.91
0.9753,580.92
0.9752,580.92
0.9752,580.93
0.9751,580.93
0.9751,580.94
0.975,580.94
0.975,580.95
0.9749,580.96
0.9749,580.97
0.9748,580.97
0.9748,580.98
0.9747,580.99
0.9747,581
0.9746,581
0.9746,581.01
0.9745,581.01
0.9745,581.02
0.9744,581.02
0.9744,581.03
0.9743,581.04
0.9742,581.05
0.9741,581.06
0.9741,581.07
0.974,581.07
0.974,581.08
0.9739,581.08
0.9739,581.09
0.9738,581.09
0.9738,581.1
0.9737,581.1
0.9737,581.11
0.9736,581.11
0.9736,581.12
0.9735,581.12
0.9735,581.13
0.9734,581.14
0.9734,581.15
0.9733,581.15
0.9733,581.16
0.9732,581.17
0.9731,581.17
0.9731,581.18
0.973,581.18
0.973,581.19
0.9729,581.19
0.9729,581.2
0.9728,581.2
0.9726,581.22
0.9725,581.22
0.9725,581.23
0.9724,581.23
0.9724,581.24
0.9723,581.24
0.9722,581.25
0.9721,581.26
0.972,581.26
0.972,581.27
0.9719,581.27
0.9719,581.28
0.9718,581.28
0.9717,581.29
0.9716,581.29
0.9716,581.3
0.9715,581.3
0.9714,581.31
0.9713,581.32
0.9712,581.32
0.9711,581.33
0.9709,581.33
0.9709,581.34
0.9706,581.34
0.9706,581.35
0.9704,581.35
0.9703,581.36
0.9701,581.36
0.9701,581.37
0.97,581.37
0.9699,581.38
0.9698,581.38
0.9698,581.39
0.9697,581.39
0.9697,581.4
0.9696,581.4
0.9695,581.41
0.9694,581.41
0.9694,581.42
0.9693,581.42
0.9692,581.43
0.9691,581.43
0.9691,581.44
0.969,581.44
0.9689,581.45
0.9688,581.45
0.9688,581.46
0.9687,581.46
0.9686,581.47
0.9685,581.47
0.9685,581.48
0.9684,581.48
0.9683,581.49
0.9682,581.49
0.9682,581.5
0.9681,581.5
0.968,581.51
0.9679,581.51
0.9679,581.52
0.9678,581.52
0.9677,581.53
0.9676,581.53
0.9676,581.54
0.9675,581.54
0.9674,581.55
0.9673,581.55
0.9672,581.56
0.9671,581.56
0.9671,581.57
0.967,581.57
0.9669,581.58
0.9668,581.58
0.9668,581.59
0.9666,581.59
0.9666,581.6
0.9665,581.6
0.9663,581.62
0.9662,581.63
0.9659,581.66
0.9658,581.66
0.9658,581.67
0.9657,581.67
0.9656,581.68
0.9655,581.68
0.9655,581.69
0.9654,581.69
0.9653,581.7
0.9652,581.7
0.9651,581.71
0.965,581.71
0.965,581.72
0.9649,581.72
0.9648,581.73
0.9647,581.73
0.9647,581.74
0.9646,581.74
0.9643,581.77
0.9642,581.78
0.9641,581.78
0.9641,581.79
0.964,581.79
0.964,581.8
0.9639,581.8
0.9638,581.81
0.9637,581.81
0.9636,581.82
0.9635,581.82
0.9635,581.83
0.9633,581.83
0.9633,581.84
0.9631,581.84
0.963,581.85
0.9627,581.85
0.9627,581.86
0.9624,581.86
0.9624,581.87
0.9622,581.87
0.9622,581.88
0.9621,581.88
0.962,581.89
0.9619,581.89
0.9618,581.9
0.9617,581.9
0.9616,581.91
0.9615,581.91
0.9614,581.92
0.9613,581.92
0.9613,581.93
0.9611,581.93
0.9611,581.94
0.9609,581.94
0.9608,581.95
0.9605,581.95
0.9604,581.96
0.9601,581.96
0.9601,581.97
0.9597,581.97
0.9597,581.98
0.9595,581.98
0.9593,582
0.9592,582
0.9592,582.01
0.9591,582.01
0.9591,582.02
0.959,582.02
0.9588,582.04
0.9587,582.04
0.9586,582.05
0.9585,582.05
0.9584,582.06
0.9583,582.06
0.9582,582.07
0.9581,582.07
0.958,582.08
0.9579,582.08
0.9578,582.09
0.9577,582.09
0.9577,582.1
0.9576,582.1
0.9574,582.12
0.9573,582.12
0.9573,582.13
0.9572,582.14
0.9571,582.14
0.9571,582.15
0.957,582.15
0.9569,582.16
0.9569,582.17
0.9568,582.17
0.9567,582.18
0.9567,582.19
0.9566,582.19
0.9565,582.2
0.9565,582.21
0.9564,582.21
0.9563,582.22
0.9563,582.23
0.9562,582.23
0.9561,582.24
0.956,582.24
0.956,582.25
0.9559,582.25
0.9557,582.27
0.9556,582.27
0.9556,582.28
0.9554,582.28
0.9554,582.29
0.9552,582.29
0.9552,582.3
0.955,582.3
0.955,582.31
0.9548,582.31
0.9547,582.32
0.9546,582.33
0.9545,582.33
0.9545,582.34
0.9544,582.35
0.9543,582.35
0.9543,582.36
0.9542,582.37
0.9541,582.37
0.9541,582.38
0.954,582.39
0.9539,582.39
0.9539,582.4
0.9538,582.4
0.9537,582.41
0.9536,582.41
0.9535,582.42
0.9534,582.42
0.9533,582.43
0.9532,582.43
0.9531,582.44
0.953,582.44
0.953,582.45
0.9529,582.45
0.9527,582.47
0.9526,582.47
0.9526,582.48
0.9525,582.48
0.9524,582.49
0.9523,582.49
0.9523,582.5
0.9522,582.5
0.9521,582.51
0.9516,582.56
0.9515,582.57
0.9514,582.58
0.9513,582.58
0.9513,582.59
0.9511,582.59
0.951,582.6
0.9509,582.6
0.9508,582.61
0.9507,582.61
0.9506,582.62
0.9504,582.62
0.9503,582.63
0.95,582.63
0.9499,582.64
0.9497,582.64
0.9495,582.66
0.9494,582.66
0.9492,582.68
0.9491,582.68
0.9491,582.69
0.949,582.69
0.9489,582.7
0.9488,582.7
0.9487,582.71
0.9486,582.71
0.9485,582.72
0.9484,582.72
0.9483,582.73
0.9482,582.73
0.9481,582.74
0.948,582.74
0.9479,582.75
0.9478,582.75
0.9477,582.76
0.9476,582.76
0.9475,582.77
0.9474,582.77
0.9472,582.79
0.9471,582.79
0.9471,582.8
0.947,582.8
0.9469,582.81
0.9468,582.82
0.9467,582.82
0.9467,582.83
0.9466,582.83
0.9465,582.84
0.9464,582.84
0.9463,582.85
0.9462,582.85
0.9461,582.86
0.946,582.86
0.9459,582.87
0.9458,582.87
0.9457,582.88
0.9456,582.88
0.9455,582.89
0.9454,582.89
0.9453,582.9
0.9452,582.9
0.9451,582.91
0.945,582.91
0.9449,582.92
0.9448,582.92
0.9447,582.93
0.9446,582.93
0.9445,582.94
0.9444,582.94
0.9443,582.95
0.9442,582.95
0.9441,582.96
0.944,582.96
0.9439,582.97
0.9438,582.97
0.9437,582.98
0.9436,582.98
0.9435,582.99
0.9434,582.99
0.9433,583
0.9432,583
0.9432,583.01
0.9431,583.01
0.943,583.02
0.9429,583.03
0.9428,583.03
0.9426,583.05
0.9425,583.05
0.9424,583.06
0.9423,583.06
0.9423,583.07
0.9422,583.07
0.9421,583.08
0.942,583.09
0.9419,583.09
0.9419,583.1
0.9418,583.1
0.9417,583.11
0.9416,583.11
0.9416,583.12
0.9415,583.13
0.9414,583.13
0.9414,583.14
0.9413,583.15
0.9412,583.15
0.9412,583.16
0.9411,583.17
0.941,583.17
0.941,583.18
0.9409,583.19
0.9408,583.19
0.9406,583.21
0.9405,583.21
0.9405,583.22
0.9404,583.22
0.9402,583.24
0.9401,583.24
0.9401,583.25
0.94,583.25
0.9394,583.31
0.9393,583.31
0.9393,583.32
0.9392,583.33
0.9391,583.33
0.9391,583.34
0.939,583.35
0.9389,583.35
0.9389,583.36
0.9388,583.36
0.9387,583.37
0.9386,583.37
0.9386,583.38
0.9385,583.38
0.9383,583.4
0.9382,583.4
0.9382,583.41
0.9381,583.41
0.938,583.42
0.9379,583.42
0.9379,583.43
0.9378,583.43
0.9377,583.44
0.9376,583.45
0.9375,583.45
0.9374,583.46
0.9373,583.46
0.9372,583.47
0.9371,583.47
0.937,583.48
0.9369,583.48
0.9368,583.49
0.9367,583.49
0.9366,583.5
0.9365,583.5
0.9364,583.51
0.9362,583.51
0.9362,583.52
0.936,583.52
0.936,583.53
0.9358,583.53
0.9358,583.54
0.9355,583.54
0.9355,583.55
0.9351,583.55
0.935,583.56
0.9348,583.56
0.9347,583.57
0.9346,583.57
0.9345,583.58
0.9344,583.58
0.9343,583.59
0.9341,583.59
0.9341,583.6
0.9339,583.6
0.9339,583.61
0.9337,583.61
0.9337,583.62
0.9335,583.62
0.9335,583.63
0.9333,583.63
0.9332,583.64
0.9331,583.64
0.933,583.65
0.9329,583.65
0.9328,583.66
0.9327,583.66
0.9326,583.67
0.9325,583.67
0.9324,583.68
0.9323,583.68
0.9322,583.69
0.9321,583.69
0.932,583.7
0.9319,583.7
0.9318,583.71
0.9317,583.71
0.9316,583.72
0.9315,583.72
0.9313,583.74
0.9312,583.74
0.9312,583.75
0.9311,583.75
0.931,583.76
0.9309,583.77
0.9308,583.77
0.9308,583.78
0.9306,583.78
0.9305,583.79
0.9304,583.79
0.9303,583.8
0.9302,583.8
0.9301,583.81
0.93,583.81
0.9299,583.82
0.9298,583.83
0.9297,583.83
0.9297,583.84
0.9296,583.84
0.9295,583.85
0.9294,583.85
0.9294,583.86
0.9293,583.86
0.9291,583.88
0.9289,583.88
0.9289,583.89
0.9287,583.89
0.9287,583.9
0.9285,583.9
0.9284,583.91
0.9283,583.91
0.9282,583.92
0.9281,583.92
0.928,583.93
0.9279,583.93
0.9278,583.94
0.9276,583.94
0.9276,583.95
0.9274,583.95
0.9274,583.96
0.9272,583.96
0.9271,583.97
0.927,583.97
0.9269,583.98
0.9268,583.98
0.9267,583.99
0.9266,583.99
0.9265,584
0.9263,584
0.9262,584.01
0.9258,584.01
0.9258,584.02
0.9254,584.02
0.9253,584.03
0.925,584.03
0.9249,584.04
0.9245,584.04
0.9245,584.05
0.924,584.05
0.9239,584.06
0.9237,584.06
0.9237,584.07
0.9235,584.07
0.9234,584.08
0.9233,584.08
0.9232,584.09
0.9231,584.09
0.923,584.1
0.9227,584.1
0.9226,584.11
0.9223,584.11
0.9222,584.12
0.922,584.12
0.9219,584.13
0.9218,584.13
0.9216,584.15
0.9215,584.15
0.9215,584.16
0.9214,584.16
0.9213,584.17
0.9212,584.17
0.9212,584.18
0.9211,584.18
0.921,584.19
0.9209,584.19
0.9208,584.2
0.9206,584.2
0.9206,584.21
0.9204,584.21
0.9204,584.22
0.9203,584.22
0.9202,584.23
0.9201,584.23
0.9201,584.24
0.92,584.24
0.9199,584.25
0.9198,584.25
0.9198,584.26
0.9197,584.26
0.9196,584.27
0.9195,584.27
0.9195,584.28
0.9193,584.28
0.9193,584.29
0.9191,584.29
0.919,584.3
0.9189,584.3
0.9188,584.31
0.9187,584.31
0.9186,584.32
0.9184,584.32
0.9184,584.33
0.9182,584.33
0.9182,584.34
0.918,584.34
0.9179,584.35
0.9178,584.35
0.9177,584.36
0.9176,584.36
0.9175,584.37
0.9173,584.37
0.9173,584.38
0.9171,584.38
0.9171,584.39
0.9169,584.39
0.9168,584.4
0.9167,584.4
0.9166,584.41
0.9165,584.41
0.9164,584.42
0.9162,584.42
0.9162,584.43
0.916,584.43
0.9159,584.44
0.9158,584.44
0.9157,584.45
0.9156,584.45
0.9155,584.46
0.9154,584.46
0.9153,584.47
0.9151,584.47
0.9151,584.48
0.9149,584.48
0.9149,584.49
0.9147,584.49
0.9146,584.5
0.9145,584.5
0.9144,584.51
0.9143,584.51
0.9142,584.52
0.9141,584.52
0.9141,584.53
0.914,584.53
0.9139,584.54
0.9138,584.55
0.9136,584.55
0.9136,584.56
0.9135,584.56
0.9134,584.57
0.9133,584.57
0.9133,584.58
0.9132,584.58
0.9131,584.59
0.913,584.59
0.9129,584.6
0.9128,584.6
0.9127,584.61
0.9126,584.61
0.9125,584.62
0.9124,584.62
0.9123,584.63
0.9122,584.63
0.9122,584.64
0.9121,584.64
0.9119,584.66
0.9118,584.66
0.9118,584.67
0.9117,584.67
0.9116,584.68
0.9115,584.69
0.9114,584.69
0.9113,584.7
0.9112,584.7
0.9111,584.71
0.911,584.71
0.911,584.72
0.9108,584.72
0.9108,584.73
0.9107,584.73
0.9106,584.74
0.9105,584.74
0.9104,584.75
0.9103,584.75
0.9103,584.76
0.9102,584.76
0.9101,584.77
0.91,584.77
0.9099,584.78
0.9098,584.78
0.9098,584.79
0.9097,584.79
0.9095,584.81
0.9094,584.81
0.9094,584.82
0.9093,584.82
0.9091,584.84
0.909,584.84
0.909,584.85
0.9089,584.85
0.9089,584.86
0.9088,584.86
0.9087,584.87
0.9086,584.87
0.9086,584.88
0.9085,584.88
0.9085,584.89
0.9084,584.89
0.9084,584.9
0.9083,584.9
0.9083,584.91
0.9082,584.91
0.908,584.93
0.9079,584.93
0.9079,584.94
0.9078,584.94
0.9078,584.95
0.9077,584.95
0.9077,584.96
0.9076,584.96
0.9076,584.97
0.9075,584.97
0.9075,584.98
0.9074,584.98
0.9072,585
0.9072,585.01
0.9071,585.01
0.9071,585.02
0.907,585.03
0.907,585.04
0.9069,585.04
0.9069,585.05
0.9068,585.05
0.9068,585.06
0.9067,585.07
0.9063,585.11
0.9063,585.12
0.9062,585.12
0.9062,585.13
0.9061,585.14
0.9061,585.15
0.906,585.15
0.906,585.16
0.9058,585.18
0.9057,585.19
0.9053,585.23
0.9053,585.24
0.9052,585.24
0.9052,585.25
0.9051,585.25
0.9051,585.26
0.905,585.26
0.905,585.27
0.9049,585.27
0.9049,585.28
0.9048,585.28
0.9048,585.29
0.9047,585.29
0.9047,585.3
0.9046,585.3
0.9046,585.31
0.9045,585.32
0.9044,585.32
0.9044,585.33
0.9043,585.33
0.9043,585.34
0.9042,585.34
0.9041,585.35
0.9041,585.36
0.904,585.36
0.904,585.37
0.9039,585.38
0.9039,585.39
0.9038,585.39
0.9038,585.4
0.9037,585.41
0.9037,585.42
0.9036,585.42
0.9036,585.43
0.9035,585.43
0.9035,585.44
0.9034,585.44
0.9034,585.45
0.9033,585.45
0.9033,585.46
0.9032,585.46
0.9032,585.48
0.9031,585.48
0.9031,585.5
0.903,585.51
0.903,585.53
0.9029,585.53
0.9029,585.55
0.9028,585.55
0.9028,585.57
0.9027,585.58
0.9027,585.6
0.9026,585.6
0.9026,585.62
0.9025,585.62
0.9025,585.63
0.9024,585.64
0.9024,585.65
0.9023,585.66
0.9023,585.68
0.9022,585.69
0.9022,585.71
0.9021,585.71
0.9021,585.73
0.902,585.73
0.902,585.74
0.9019,585.75
0.9019,585.76
0.9018,585.76
0.9018,585.78
0.9017,585.78
0.9017,585.8
0.9016,585.8
0.9016,585.82
0.9015,585.83
0.9015,585.85
0.9014,585.86
0.9014,585.88
0.9013,585.89
0.9013,585.91
0.9012,585.91
0.9012,585.93
0.9011,585.93
0.9011,585.96
0.901,585.96
0.901,585.97
0.9009,585.98
0.9009,585.99
0.9008,585.99
0.9008,586
0.9006,586
0.9006,586.01
0.9005,586.01
0.9005,586.03
0.9004,586.03
0.9004,586.05
0.9003,586.05
0.9003,586.07
0.9002,586.07
0.9002,586.1
0.9001,586.1
0.9001,586.14
0.8998,586.14
0.8998,586.15
0.8997,586.15
0.8997,586.17
0.8996,586.17
0.8996,586.18
0.8995,586.18
0.8995,586.2
0.8994,586.2
0.8994,586.22
0.8993,586.22
0.8993,586.25
0.8992,586.25
0.8992,586.27
0.8991,586.27
0.8991,586.3
0.899,586.3
0.899,586.32
0.8989,586.33
0.8989,586.35
0.8988,586.35
0.8988,586.37
0.8987,586.38
0.8987,586.4
0.8986,586.41
0.8986,586.45
0.8985,586.45
0.8985,586.5
0.8984,586.5
0.8984,586.53
0.8983,586.54
0.8983,586.57
0.8982,586.57
0.8982,586.61
0.8981,586.61
0.8981,586.67
0.898,586.68
0.898,586.76
0.8979,586.77
0.8979,586.85
0.8978,586.86
0.8978,586.91
0.8977,586.91
0.8977,586.95
0.8976,586.95
0.8976,586.99
0.8975,586.99
0.8975,587.04
0.8974,587.04
0.8974,587.08
0.8973,587.09
0.8973,587.13
0.8972,587.13
0.8972,587.16
0.8971,587.16
0.8971,587.17
0.897,587.17
0.897,587.19
0.8969,587.19
0.8969,587.22
0.8968,587.22
0.8968,587.24
0.8967,587.24
0.8967,587.27
0.8966,587.28
0.8966,587.31
0.8965,587.31
0.8965,587.35
0.8964,587.35
0.8964,587.38
0.8963,587.38
0.8963,587.41
0.8962,587.41
0.8962,587.44
0.8961,587.44
0.8961,587.46
0.896,587.46
0.896,587.49
0.8959,587.5
0.8959,587.54
0.8958,587.54
0.8958,587.57
0.8957,587.57
0.8957,587.62
0.8956,587.62
0.8956,587.65
0.8955,587.65
0.8955,587.69
0.8954,587.69
0.8954,587.72
0.8953,587.72
0.8953,587.75
0.8952,587.76
0.8952,587.8
0.8951,587.8
0.8951,587.85
0.895,587.85
0.895,587.89
0.8949,587.89
0.8949,587.91
0.8948,587.91
0.8948,587.93
0.8947,587.93
0.8947,587.95
0.8946,587.95
0.8946,587.96
0.8945,587.97
0.8945,588
0.8944,588
0.8944,588.03
0.8943,588.04
0.8943,588.07
0.8942,588.07
0.8942,588.11
0.8941,588.11
0.8941,588.17
0.894,588.17
0.894,588.21
0.8939,588.21
0.8939,588.24
0.8938,588.25
0.8938,588.28
0.8937,588.28
0.8937,588.3
0.8936,588.3
0.8936,588.31
0.8935,588.32
0.8935,588.33
0.8934,588.33
0.8934,588.35
0.8933,588.35
0.8933,588.36
0.8932,588.37
0.8932,588.38
0.8931,588.39
0.8931,588.42
0.893,588.42
0.893,588.45
0.8929,588.45
0.8929,588.47
0.8928,588.47
0.8928,588.5
0.8927,588.5
0.8927,588.53
0.8926,588.54
0.8926,588.56
0.8925,588.56
0.8925,588.58
0.8924,588.58
0.8924,588.6
0.8923,588.6
0.8923,588.64
0.8922,588.65
0.8922,588.68
0.8921,588.69
0.8921,588.72
0.892,588.72
0.892,588.75
0.8919,588.75
0.8919,588.78
0.8918,588.79
0.8918,588.8
0.8917,588.8
0.8917,588.82
0.8916,588.82
0.8916,588.83
0.8915,588.84
0.8915,588.86
0.8914,588.87
0.8914,588.91
0.8913,588.91
0.8913,588.96
0.8912,588.96
0.8912,589
0.8911,589.01
0.8911,589.04
0.891,589.05
0.891,589.09
0.8909,589.09
0.8909,589.11
0.8908,589.11
0.8908,589.13
0.8907,589.13
0.8907,589.15
0.8906,589.15
0.8906,589.17
0.8905,589.17
0.8905,589.2
0.8904,589.2
0.8904,589.22
0.8903,589.22
0.8903,589.27
0.8902,589.28
0.8902,589.31
0.8901,589.31
0.8901,589.34
0.89,589.34
0.89,589.36
